emp_no,first_name,last_name,gender,birth_date,hire_date
10008,Saniya,Kalloufi,M,1958-02-19,1994-09-15
10010,Duangkaew,Piveteau,F,1963-06-01,1989-08-24
10042,Magy,Stamatiou,F,1956-02-26,1993-03-21
10101,Perla,Heyers,F,1952-04-15,1992-12-28
10164,Jagoda,Braunmuhl,M,1956-01-19,1985-11-12
10200,Vidya,Awdeh,M,1961-12-31,1985-10-16
10221,Yucai,Granlund,M,1957-01-03,1988-06-08
10229,Ulises,Takanami,M,1952-02-10,1987-11-22
10237,Yannis,Mandell,F,1952-09-22,1989-08-11
10276,Xuejun,Hempstead,M,1964-07-27,1985-07-21
10303,Marlo,Zschoche,M,1961-09-11,1990-02-05
10307,Nikolaos,Leaver,M,1955-07-20,1991-04-10
10317,Arie,Birge,M,1957-12-25,1986-12-10
10354,Moto,Kusakari,M,1961-04-21,1996-03-26
10382,Shirish,Dredge,M,1955-06-12,1990-07-04
10405,Hilary,Budinsky,F,1957-01-20,1985-11-04
10412,Masoud,Fabrizio,F,1958-02-26,1986-05-06
10420,Kaijung,Riesenhuber,M,1963-03-03,1988-01-17
10440,Akeel,Narahara,F,1959-04-10,1994-03-31
10447,Ronghao,Yavatkar,F,1962-10-24,1988-12-29
10466,Jiakeng,Himler,M,1954-12-25,1985-09-29
10570,Alassane,Morrin,M,1958-10-30,1985-05-05
10575,Theirry,Yeung,M,1954-06-29,1988-10-04
10593,Falguni,Kenevan,M,1952-07-24,1990-09-12
10598,Margo,Gronowski,M,1957-11-10,1989-03-31
10637,Heejo,Frolund,M,1954-07-11,1993-07-11
10655,Remko,Dalton,F,1959-02-02,1985-07-14
10665,Qingxiang,Snyers,M,1964-07-28,1988-01-23
10722,Dung,Gornas,M,1960-10-03,1989-01-17
10727,Saeed,Kitai,F,1959-06-16,1991-01-08
10731,Fumitaka,Peak,M,1952-11-17,1987-02-20
10751,Jordanka,Ushiama,M,1952-12-02,1987-04-15
10756,Paddy,Brizzi,M,1958-06-24,1995-11-21
10817,Uri,Rullman,F,1958-10-02,1990-12-26
10825,Fan,Fairtlough,M,1958-03-27,1985-12-30
11012,Taegyun,Speckmann,F,1953-09-12,1986-12-28
11015,Jeanna,Riesenhuber,M,1965-01-24,1992-05-29
11025,Heekeun,Delgrange,M,1960-03-21,1989-11-06
11032,Erez,Schaaf,M,1953-04-19,1992-03-12
11138,Adel,Matteis,M,1956-11-12,1986-10-22
11152,Georgy,Walstra,F,1962-11-13,1988-02-18
11172,Kristian,Sudkamp,F,1963-06-25,1989-06-06
11206,Steen,Sury,M,1954-07-14,1993-05-07
11209,Xuejun,Penn,M,1964-06-25,1997-09-06
11277,Munehiro,Ritcey,M,1961-09-17,1990-01-18
11342,Xudong,Butner,M,1959-12-29,1998-02-03
11351,Kristina,Vasanthakumar,F,1957-01-01,1998-11-20
11372,Susanta,Vilarrasa,M,1953-09-04,1993-05-14
11450,Wanqing,Glinert,M,1964-04-12,1987-06-04
11481,Sven,Schrooten,M,1961-04-17,1986-11-03
11493,Shen,Sevcikova,M,1957-02-13,1995-07-22
11498,Shigenori,Rabehasaina,M,1957-07-21,1994-01-19
11521,Eldridge,Eastman,F,1952-06-14,1995-10-17
11605,Arno,Genther,M,1961-05-26,1987-05-22
11609,Sigeru,Marrakchi,M,1964-08-27,1991-08-03
11652,Jeanne,Beutelspacher,F,1964-10-20,1988-06-07
11686,Nadjib,Srimani,F,1952-11-14,1989-10-14
11710,Rajmohan,Hatcliff,F,1958-12-20,1986-09-05
11724,Falguni,Hammerschmidt,F,1960-06-06,1985-09-03
11744,Felicidad,Auria,F,1964-10-07,1989-08-23
11793,Barun,Harllee,M,1960-08-13,1996-06-06
11827,Gretta,Rando,M,1956-02-07,1991-09-09
11862,Alejandra,Deville,M,1954-01-25,1993-01-20
11873,Venkatesan,Reeken,F,1960-08-09,1998-11-14
11928,Mang,Wroclawski,M,1959-09-01,1992-06-24
11935,Aamer,Jayawardene,M,1963-03-23,1996-10-26
12059,Christfried,Kalefeld,F,1959-06-29,1991-05-23
12077,Steve,Hutton,F,1954-11-17,1994-01-30
12143,Zeljko,Denti,F,1956-04-25,1996-01-06
12152,Amalendu,Nyrup,M,1964-01-18,1992-06-13
12170,Moie,Nannarelli,M,1961-10-06,1989-06-19
12173,Adel,Nanard,M,1955-02-03,1986-06-24
12208,Bartek,Passino,F,1962-02-20,1985-11-20
12294,Arch,Heydon,M,1964-09-30,1991-12-14
12325,Alassane,Randt,M,1957-08-15,1988-12-06
12335,Arnould,Genin,F,1952-11-25,1988-04-26
12343,Sorina,Slaats,M,1952-10-18,1988-08-25
12358,Achilleas,Syrotiuk,M,1964-06-29,1992-04-04
12366,Patricio,Setlzner,F,1952-08-11,1994-07-16
12371,Paraskevi,Choobineh,M,1964-10-03,1985-03-16
12412,Chaitali,Peres,F,1964-06-05,1995-08-11
12419,Srinidhi,Markovitch,M,1959-10-12,1985-08-19
12420,Douadi,Rande,M,1957-11-26,1986-11-12
12438,Yongmao,Mondadori,M,1953-11-24,1990-12-19
12491,Cullen,Gruenwald,M,1958-09-02,1985-08-02
12498,Radhakrishnan,Socorro,M,1963-05-06,1985-03-29
12505,Barton,Goldhammer,M,1952-08-24,1991-04-20
12552,Mechthild,Zongker,M,1955-07-27,1989-11-21
12577,Takushi,Schrift,M,1964-05-09,1996-05-26
12653,Hitomi,Kaelbling,F,1960-09-23,1986-10-07
12678,Carrsten,Borovoy,M,1952-12-07,1987-06-03
12721,Sajjan,Szilard,M,1954-03-04,1994-08-20
12721,Sajjan,Szilard,M,1954-03-04,1994-08-20
12729,Nahla,Rahier,F,1954-05-18,1987-08-25
12739,Aral,Kading,F,1956-07-30,1988-12-15
12747,Salvador,Atrawala,F,1955-10-23,1994-05-23
12778,Percy,Krybus,M,1957-10-29,1992-06-18
12821,Arco,Gihr,F,1952-06-01,1995-11-02
12876,Apostol,Goodrum,M,1953-12-05,1985-09-13
12898,Lorien,Pelc,F,1959-03-05,1991-04-16
13001,Rosita,Wiegley,M,1957-06-29,1985-03-05
13062,Xinglin,Baak,M,1953-11-10,1986-11-25
13095,Khedija,Cochrane,M,1952-02-13,1990-08-11
13099,Luigi,Bardell,M,1964-01-09,1991-07-04
13142,Sanjiv,Kowalchuk,M,1956-06-01,1993-04-16
